connection,panel,receiver,entry_x_mm,entry_y_mm,entry_z_mm,direction_x,direction_y,direction_z,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
timber_panel_lower_left_1,main_lower_left,base_side_left,-1200.15,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_2,main_lower_left,base_side_left,-1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_3,main_lower_left,base_principal_left,-57.150000000000006,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_4,main_lower_left,base_principal_left,-57.150000000000006,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_5,main_lower_left,base_side_left,-1200.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_6,main_lower_left,base_side_left,-1200.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_7,main_lower_left,base_principal_left,-57.150000000000006,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_8,main_lower_left,base_principal_left,-57.150000000000006,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_9,main_lower_left,base_rail_bottom_left,-791.1500000000001,6.167808375848537,281.8051013405334,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_10,main_lower_left,base_rail_bottom_left,-448.1500000000001,6.167808375848537,281.8051013405334,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_11,main_lower_left,base_rail_mid_lower_left,-791.1500000000001,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_12,main_lower_left,base_rail_mid_lower_left,-448.1500000000001,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_1,main_lower_right,base_principal_right,19.05,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_2,main_lower_right,base_principal_right,19.05,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_3,main_lower_right,base_side_right,1200.15,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_4,main_lower_right,base_side_right,1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_5,main_lower_right,base_principal_right,19.05,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
