part,connection,from_min_x_mm,from_min_s_mm,from_min_n_mm,from_min_x_in,from_min_s_in,from_min_n_in,axis_x,axis_s,axis_n,material_run_mm,status
wood_edge_principal_left,analysis_leg_wall_bolt_left_1,88.90000000000009,1425.6999999999994,39.975000000000136,3.500000000000004,56.1299212598425,1.5738188976378007,-1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_1,38.09999999999991,1539.9999999999995,96.07499999999997,1.4999999999999964,60.629921259842504,3.782480314960629,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_1,19.050000000000182,860.238727647356,1403.8115513120354,0.7500000000000072,33.867666442809295,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_1,19.049999999999955,860.238727647356,1403.8115513120354,0.7499999999999982,33.867666442809295,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
wood_edge_principal_left,analysis_leg_wall_bolt_left_2,88.90000000000009,1505.6999999999991,39.975000000000136,3.500000000000004,59.27952755905509,1.5738188976378007,-1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_2,38.09999999999991,1619.9999999999993,96.07499999999997,1.4999999999999964,63.7795275590551,3.782480314960629,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_2,19.050000000000182,940.2387276473557,1403.8115513120354,0.7500000000000072,37.01727274202188,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_2,19.049999999999955,940.2387276473557,1403.8115513120354,0.7499999999999982,37.01727274202188,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
wood_edge_principal_left,analysis_leg_wall_bolt_left_3,88.90000000000009,1625.6999999999991,39.97499999999991,3.500000000000004,64.00393700787399,1.5738188976377918,-1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_3,38.09999999999991,1739.9999999999993,96.07499999999975,1.4999999999999964,68.50393700787399,3.7824803149606203,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_3,19.050000000000182,1060.2387276473557,1403.8115513120351,0.7500000000000072,41.74168219084078,55.26817131149745,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_3,19.049999999999955,1060.2387276473557,1403.8115513120351,0.7499999999999982,41.74168219084078,55.26817131149745,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
wood_edge_principal_left,analysis_leg_wall_bolt_left_4,88.90000000000009,1705.6999999999991,39.975000000000136,3.500000000000004,67.15354330708658,1.5738188976378007,-1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_4,38.09999999999991,1819.9999999999993,96.07499999999997,1.4999999999999964,71.6535433070866,3.782480314960629,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_4,19.050000000000182,1140.2387276473557,1403.8115513120354,0.7500000000000072,44.89128849005338,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_4,19.049999999999955,1140.2387276473557,1403.8115513120354,0.7499999999999982,44.89128849005338,55.26817131149746,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
wood_edge_principal_right,analysis_leg_wall_bolt_right_1,0.0,1425.6999999999994,39.975000000000136,0.0,56.1299212598425,1.5738188976378007,1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_1,0.0,1539.9999999999995,96.07499999999997,0.0,60.629921259842504,3.782480314960629,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_1,0.0,860.238727647356,1403.8115513120354,0.0,33.867666442809295,55.26817131149746,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_outer,analysis_leg_wall_bolt_right_1,2.2737367544323206e-13,860.238727647356,1403.8115513120354,8.951719505639057e-15,33.867666442809295,55.26817131149746,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
wood_edge_principal_right,analysis_leg_wall_bolt_right_2,0.0,1505.6999999999991,39.975000000000136,0.0,59.27952755905509,1.5738188976378007,1.0,0.0,0.0,88.90000000000009,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_2,0.0,1619.9999999999993,96.07499999999997,0.0,63.7795275590551,3.782480314960629,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_2,0.0,940.2387276473557,1403.8115513120354,0.0,37.01727274202188,55.26817131149746,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
