connection,member,diameter_mm,world_y_mm,world_z_mm,grain_station_mm,depth_coordinate_mm,datum,fresh_stock_only
lumber_leg_bolt_left_1,lumber_leg_left,14.2875,970.3327357264832,1489.770644838167,-87.85818212330287,60.91704560954791,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_1,base_side_left,14.2875,970.3327357264832,1489.770644838167,1604.1585610708685,37.872099441378396,"panel S=0, N=0 front face",True
lumber_leg_bolt_left_2,lumber_leg_left,14.2875,1024.3268949401527,1554.1183780601611,-39.77316873161533,129.79252373581025,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_2,base_side_left,14.2875,1024.3268949401527,1554.1183780601611,1688.1585610708685,37.87209944137828,"panel S=0, N=0 front face",True
lumber_leg_bolt_left_3,lumber_leg_left,14.2875,953.1623435031993,1553.4980143970827,-21.858182123302782,60.91704560954795,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_3,base_side_left,14.2875,953.1623435031993,1553.4980143970827,1641.9396430214802,91.98854654058448,"panel S=0, N=0 front face",True
lumber_leg_bolt_left_4,lumber_leg_left,14.2875,1007.1565027168689,1617.8457476190767,26.22683126838473,129.7925237358104,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_4,base_side_left,14.2875,1007.1565027168689,1617.8457476190767,1725.9396430214802,91.98854654058414,"panel S=0, N=0 front face",True
lumber_leg_bolt_left_5,lumber_leg_left,14.2875,935.9919512799154,1617.225383955998,44.141817876697075,60.91704560954793,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_5,base_side_left,14.2875,935.9919512799154,1617.225383955998,1679.7207249720914,146.10499363979034,"panel S=0, N=0 front face",True
lumber_leg_bolt_left_6,lumber_leg_left,14.2875,989.986110493585,1681.5731171779921,92.22683126838459,129.79252373581036,"original leg center, depth from negative across edge",True
lumber_leg_bolt_left_6,base_side_left,14.2875,989.986110493585,1681.5731171779921,1763.7207249720918,146.10499363979,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_1,lumber_leg_right,14.2875,970.3327357264832,1489.770644838167,-87.85818212330287,60.91704560954791,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_1,base_side_right,14.2875,970.3327357264832,1489.770644838167,1604.1585610708685,37.872099441378396,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_2,lumber_leg_right,14.2875,1024.3268949401527,1554.1183780601611,-39.77316873161533,129.79252373581025,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_2,base_side_right,14.2875,1024.3268949401527,1554.1183780601611,1688.1585610708685,37.87209944137828,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_3,lumber_leg_right,14.2875,953.1623435031993,1553.4980143970827,-21.858182123302782,60.91704560954795,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_3,base_side_right,14.2875,953.1623435031993,1553.4980143970827,1641.9396430214802,91.98854654058448,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_4,lumber_leg_right,14.2875,1007.1565027168689,1617.8457476190767,26.22683126838473,129.7925237358104,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_4,base_side_right,14.2875,1007.1565027168689,1617.8457476190767,1725.9396430214802,91.98854654058414,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_5,lumber_leg_right,14.2875,935.9919512799154,1617.225383955998,44.141817876697075,60.91704560954793,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_5,base_side_right,14.2875,935.9919512799154,1617.225383955998,1679.7207249720914,146.10499363979034,"panel S=0, N=0 front face",True
lumber_leg_bolt_right_6,lumber_leg_right,14.2875,989.986110493585,1681.5731171779921,92.22683126838459,129.79252373581036,"original leg center, depth from negative across edge",True
lumber_leg_bolt_right_6,base_side_right,14.2875,989.986110493585,1681.5731171779921,1763.7207249720918,146.10499363979,"panel S=0, N=0 front face",True
