part,layers,length_mm,width_mm,total_thickness_mm,length_in,width_in,total_thickness_in,note
main_lower_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_lower_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_upper_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_upper_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
kicker_left,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,reference climbing skin; attachment unresolved
kicker_right,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,reference climbing skin; attachment unresolved
box_side_left,1,2438.4,285.75,38.1,96.00000000000001,11.25,1.5000000000000002,2x12 dry dressed lumber; grade/species unresolved
leg_left,2,1814.8527176694317,664.9230278812731,38.1,71.45089439643432,26.17807196382965,1.5000000000000002,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_side_right,1,2438.4,285.75,38.1,96.00000000000001,11.25,1.5000000000000002,2x12 dry dressed lumber; grade/species unresolved
leg_right,2,1814.8527176694317,664.9230278812731,38.1,71.45089439643432,26.17807196382965,1.5000000000000002,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_top,1,2514.6,285.75,38.1,99.0,11.25,1.5000000000000002,2x12 full-width top; corner connectors NOT yet designed
