part,layers,length_mm,width_mm,total_thickness_mm,length_in,width_in,total_thickness_in,note
main_lower_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_lower_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_upper_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
main_upper_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,reference climbing skin; attachment unresolved
kicker_left,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,reference climbing skin; attachment unresolved
kicker_right,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,reference climbing skin; attachment unresolved
box_side_left,1,2438.4,234.95,38.1,96.00000000000001,9.25,1.5000000000000002,2x10 dry dressed lumber; grade/species unresolved
leg_left,2,1798.5259123833937,645.1921057725538,38.1,70.80810678674779,25.401264006793458,1.5000000000000002,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_side_right,1,2438.4,234.95,38.1,96.00000000000001,9.25,1.5000000000000002,2x10 dry dressed lumber; grade/species unresolved
leg_right,2,1798.5259123833937,645.1921057725538,38.1,70.80810678674779,25.401264006793458,1.5000000000000002,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_top,1,2514.6,234.95,38.1,99.0,9.25,1.5000000000000002,2x10 full-width top; corner connectors NOT yet designed
