connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
analysis_leg_wall_bolt_left_1,bolt,box_side_left + leg_left,-1217.2,862.4443191066465,1496.5467221371905,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_2,bolt,box_side_left + leg_left,-1217.2,913.8673278815696,1557.8302775867087,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_3,bolt,box_side_left + leg_left,-1217.2,991.0018410439543,1649.755610760986,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_4,bolt,box_side_left + leg_left,-1217.2,1042.4248498188776,1711.0391662105044,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_1,bolt,box_side_right + leg_right,1217.2,862.4443191066465,1496.5467221371905,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_2,bolt,box_side_right + leg_right,1217.2,913.8673278815696,1557.8302775867087,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_3,bolt,box_side_right + leg_right,1217.2,991.0018410439543,1649.755610760986,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_4,bolt,box_side_right + leg_right,1217.2,1042.4248498188776,1711.0391662105044,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
panel_1,screw,main_lower_left + panel_edge_bottom,-1169.2,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_2,screw,main_lower_left + panel_edge_bottom,-796.1333333333334,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_3,screw,main_lower_left + panel_edge_bottom,-423.0666666666667,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_4,screw,main_lower_left + panel_edge_bottom,-50.0,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_5,screw,main_lower_left + panel_seam_horizontal,-1169.2,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_6,screw,main_lower_left + panel_seam_horizontal,-793.1333333333334,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_7,screw,main_lower_left + panel_seam_horizontal,-445.0666666666667,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_8,screw,main_lower_left + panel_seam_horizontal,-50.0,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_9,screw,main_lower_left + panel_edge_left_lower,-1169.2,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_10,screw,main_lower_left + panel_edge_left_lower,-1169.2,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_11,screw,main_lower_left + panel_seam_vertical_lower,-50.0,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_12,screw,main_lower_left + panel_seam_vertical_lower,-50.0,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_13,screw,main_lower_right + panel_edge_bottom,50.0,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
