
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.1000000E+01

       102  2.688127E-02 -3.016881E-01  3.019080E-01
       106 -7.404055E-06 -4.362297E-01  3.808356E-01
       114 -2.689074E-02 -3.016856E-01  3.019112E-01
      1255  1.692761E-02 -4.012068E-01  3.556124E-01
      1442 -1.685280E-02 -4.012062E-01  3.556159E-01

 total force (fx,fy,fz) for set FEET and time  0.1000000E+01

        3.263942E-09  9.192533E+02 -7.713451E+02

                        S T E P       2


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.2000000E+01

       102 -2.688127E-02  3.016881E-01 -3.019080E-01
       106  7.404055E-06  4.362297E-01 -3.808356E-01
       114  2.689074E-02  3.016856E-01 -3.019112E-01
      1255 -1.692761E-02  4.012068E-01 -3.556124E-01
      1442  1.685280E-02  4.012062E-01 -3.556159E-01

 total force (fx,fy,fz) for set FEET and time  0.2000000E+01

       -3.263910E-09 -9.192533E+02  7.713451E+02

                        S T E P       3


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.3000000E+01

       102 -1.177957E-03  4.196355E-03 -2.797337E-02
       106 -2.118918E-06  7.329288E-03 -3.009993E-02
       114  1.171451E-03  4.201568E-03 -2.797261E-02
      1255 -5.082316E-04  7.030782E-03 -2.875274E-02
      1442  3.821643E-04  7.015065E-03 -2.877758E-02

 total force (fx,fy,fz) for set FEET and time  0.3000000E+01

        2.272404E-11  7.713451E+02  9.192533E+02

                        S T E P       4


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.4000000E+01

       102  6.642109E-02  4.202277E-03  2.785324E-02
       106  6.261620E-02  7.526814E-06 -3.041177E-06
       114  6.642107E-02 -4.191706E-03 -2.785405E-02
      1255  6.242803E-02 -4.112562E-04  1.430361E-02
      1442  6.243217E-02  4.353526E-04 -1.415934E-02

 total force (fx,fy,fz) for set FEET and time  0.4000000E+01

       -1.200000E+03 -1.041120E-09 -1.276490E-11

                        S T E P       5


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.5000000E+01

       102 -3.128358E-04  3.033690E-01 -2.907667E-01
       106  2.505388E-02  4.362327E-01 -3.808369E-01
       114  5.345917E-02  3.000090E-01 -3.130528E-01
      1255  8.043600E-03  4.010423E-01 -3.498909E-01
      1442  4.182566E-02  4.013803E-01 -3.612796E-01

 total force (fx,fy,fz) for set FEET and time  0.5000000E+01

       -4.800000E+02 -9.192533E+02  7.713451E+02
