
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.1000000E+01

       102  2.695065E-02 -3.055312E-01  3.083757E-01
       106 -3.602991E-06 -4.406883E-01  3.875992E-01
       114 -2.695605E-02 -3.055279E-01  3.083531E-01
      2542  1.693531E-02 -4.048943E-01  3.611690E-01
      3009 -1.694097E-02 -4.049424E-01  3.613024E-01

 total force (fx,fy,fz) for set FEET and time  0.1000000E+01

       -7.588266E-10  9.192533E+02 -7.713451E+02

                        S T E P       2


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.2000000E+01

       102 -2.695065E-02  3.055312E-01 -3.083757E-01
       106  3.602991E-06  4.406883E-01 -3.875992E-01
       114  2.695605E-02  3.055279E-01 -3.083531E-01
      2542 -1.693531E-02  4.048943E-01 -3.611690E-01
      3009  1.694097E-02  4.049424E-01 -3.613024E-01

 total force (fx,fy,fz) for set FEET and time  0.2000000E+01

        7.588978E-10 -9.192533E+02  7.713451E+02

                        S T E P       3


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.3000000E+01

       102 -1.219300E-03  2.711953E-03 -3.349283E-02
       106 -1.159828E-06  5.429119E-03 -3.601096E-02
       114  1.216762E-03  2.714292E-03 -3.346875E-02
      2542 -4.231928E-04  5.778451E-03 -3.327147E-02
      3009  4.163119E-04  5.762072E-03 -3.340089E-02

 total force (fx,fy,fz) for set FEET and time  0.3000000E+01

        7.701439E-11  7.713451E+02  9.192533E+02

                        S T E P       4


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.4000000E+01

       102  7.136486E-02  4.437647E-03  2.824812E-02
       106  6.768957E-02  2.528886E-06 -9.422664E-07
       114  7.135589E-02 -4.431040E-03 -2.825022E-02
      2542  6.643511E-02 -3.473661E-04  1.441349E-02
      3009  6.656236E-02  3.562585E-04 -1.441176E-02

 total force (fx,fy,fz) for set FEET and time  0.4000000E+01

       -1.200000E+03 -8.515715E-10 -9.658585E-10

                        S T E P       5


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.5000000E+01

       102  1.595295E-03  3.073063E-01 -2.970764E-01
       106  2.707943E-02  4.406893E-01 -3.875996E-01
       114  5.549840E-02  3.037555E-01 -3.196532E-01
      2542  9.638730E-03  4.047554E-01 -3.554036E-01
      3009  4.356591E-02  4.050849E-01 -3.670671E-01

 total force (fx,fy,fz) for set FEET and time  0.5000000E+01

       -4.800000E+02 -9.192533E+02  7.713451E+02
